year,DATE,DOY,ring,CO2,plot,block,Vcmax25,Jmax25,vj25
2009,1-Jul,182,1,385,c,1,141.323,225.787,0.62591
2009,1-Jul,182,5,585,c,1,119.318,215.151,0.55458
2009,1-Jul,182,4,385,c,2,126.066,135.331,0.93154
2009,1-Jul,182,3,585,c,2,133.515,219.059,0.60949
2009,1-Jul,182,10,385,c,3,129.405,165.537,0.78173
2009,1-Jul,182,11,385,c,4,144.585,221.957,0.65141
2009,1-Jul,182,15,585,c,4,120.319,154.901,0.77674
2009,1-Jul,182,1,385,d,1,129.763,178.117,0.72853
2009,1-Jul,182,5,585,d,1,127.699,218.934,0.58328
2009,1-Jul,182,4,385,d,2,135.284,183.487,0.7373
2009,1-Jul,182,3,585,d,2,136.432,207.209,0.65843
2009,1-Jul,182,10,385,d,3,123.593,197.892,0.62455
2009,1-Jul,182,14,585,d,3,121.113,148.924,0.81325
2009,1-Jul,182,11,385,d,4,139.88,143.242,0.97653
2009,1-Jul,182,15,585,d,4,139.296,147.108,0.9469
2009,16-Jul,197,1,385,c,1,129.27,183.536,0.70433
2009,16-Jul,197,5,585,c,1,132.416,225.103,0.58825
2009,16-Jul,197,4,385,c,2,145.663,217.883,0.66854
2009,16-Jul,197,3,585,c,2,99.059,153.269,0.64631
2009,16-Jul,197,10,385,c,3,136.844,197.125,0.6942
2009,16-Jul,197,14,585,c,3,108.452,201.958,0.53701
2009,16-Jul,197,11,385,c,4,136.176,207.866,0.65511
2009,16-Jul,197,15,585,c,4,103.122,173.831,0.59323
2009,16-Jul,197,1,385,d,1,122.133,175.493,0.69594
2009,16-Jul,197,5,585,d,1,117.434,197.208,0.59548
2009,16-Jul,197,4,385,d,2,139.571,197.726,0.70588
2009,16-Jul,197,3,585,d,2,126.116,209.383,0.60232
2009,16-Jul,197,10,385,d,3,139.596,214.64,0.65037
2009,16-Jul,197,14,585,d,3,96.509,161.439,0.59781
2009,16-Jul,197,11,385,d,4,106.55,148.834,0.7159
2009,16-Jul,197,15,585,d,4,106.302,166.894,0.63694
2009,30-Jul,211,1,385,c,1,153.636,228.896,0.6712
2009,30-Jul,211,5,585,c,1,120.858,204.331,0.59148
2009,30-Jul,211,4,385,c,2,98.926,208.774,0.47384
2009,30-Jul,211,3,585,c,2,112.868,162.771,0.69342
2009,30-Jul,211,10,385,c,3,133.145,212.395,0.62688
2009,30-Jul,211,14,585,c,3,110.208,186.312,0.59153
2009,30-Jul,211,11,385,c,4,139.358,201.338,0.69216
2009,30-Jul,211,15,585,c,4,88.764,145.269,0.61103
2009,30-Jul,211,1,385,d,1,134.507,196.048,0.6861
2009,30-Jul,211,5,585,d,1,101.294,144.309,0.70192
2009,30-Jul,211,4,385,d,2,129.652,184.964,0.70096
2009,30-Jul,211,3,585,d,2,114.73,177.575,0.64609
2009,30-Jul,211,10,385,d,3,138.147,220.871,0.62547
2009,30-Jul,211,14,585,d,3,98.869,145.462,0.67969
2009,30-Jul,211,15,585,d,4,123.025,182.108,0.67556
2009,13-Aug,225,1,385,c,1,130.584,206.749,0.63161
2009,13-Aug,225,5,585,c,1,155.881,212.61,0.73318
2009,13-Aug,225,4,385,c,2,120.55,187.053,0.64447
2009,13-Aug,225,3,585,c,2,102.632,191.96,0.53466
2009,13-Aug,225,10,385,c,3,153.998,200.002,0.76999
2009,13-Aug,225,14,585,c,3,115.125,195.672,0.58836
2009,13-Aug,225,11,385,c,4,134.776,202.528,0.66547
2009,13-Aug,225,15,585,c,4,119.611,177.246,0.67483
2009,13-Aug,225,1,385,d,1,135.915,201.667,0.67396
2009,13-Aug,225,5,585,d,1,125.924,217.58,0.57875
2009,13-Aug,225,4,385,d,2,115.799,171.372,0.67572
2009,13-Aug,225,3,585,d,2,101.853,171.676,0.59328
2009,13-Aug,225,10,385,d,3,.,.,.
2009,13-Aug,225,14,585,d,3,106.552,183.169,0.58172
2009,13-Aug,225,11,385,d,4,132.375,208.684,0.63433
2009,13-Aug,225,15,585,d,4,106.917,162.772,0.65685
2009,27-Aug,239,1,385,c,1,140.935,260.686,0.54063
2009,27-Aug,239,5,585,c,1,113.732,223.647,0.50853
2009,27-Aug,239,4,385,c,2,129.761,273.363,0.47468
2009,27-Aug,239,3,585,c,2,92.973,225.83,0.4117
2009,27-Aug,239,10,385,c,3,126.896,227.131,0.55869
2009,27-Aug,239,14,585,c,3,114.554,259.21,0.44194
2009,27-Aug,239,11,385,c,4,129.531,284.832,0.45476
2009,27-Aug,239,15,585,c,4,126.61,263.437,0.48061
2009,27-Aug,239,1,385,d,1,137.704,240.65,0.57222
2009,27-Aug,239,5,585,d,1,132.078,256.437,0.51505
2009,27-Aug,239,4,385,d,2,125.115,230.644,0.54246
2009,27-Aug,239,3,585,d,2,118.013,250.564,0.47099
2009,27-Aug,239,10,385,d,3,129.234,255.464,0.50588
2009,27-Aug,239,14,585,d,3,106.191,218.595,0.48579
2009,27-Aug,239,11,385,d,4,125.356,252.309,0.49683
2009,27-Aug,239,15,585,d,4,105.818,197.219,0.53655
2009,10-Sep,253,1,385,c,1,113.92,222.963,0.51094
2009,10-Sep,253,5,585,c,1,135.678,265.586,0.51086
2009,10-Sep,253,4,385,c,2,127.9,251.472,0.5086
2009,10-Sep,253,3,585,c,2,120.772,260.703,0.46326
2009,10-Sep,253,10,385,c,3,105.072,198.793,0.52855
2009,10-Sep,253,14,585,c,3,107.177,247.9,0.43234
2009,10-Sep,253,11,385,c,4,139.5,224.965,0.6201
2009,10-Sep,253,15,585,c,4,109.757,237.338,0.46245
2009,10-Sep,253,1,385,d,1,79.658,140.648,0.56636
2009,10-Sep,253,5,585,d,1,80.255,188.206,0.42642
2009,10-Sep,253,4,385,d,2,120.491,236.157,0.51021
2009,10-Sep,253,3,585,d,2,137.231,253.632,0.54106
2009,10-Sep,253,10,385,d,3,104.847,206.253,0.50834
2009,10-Sep,253,14,585,d,3,91.452,220.153,0.4154
2009,10-Sep,253,11,385,d,4,82.282,153.607,0.53567
2009,10-Sep,253,15,585,d,4,84.71,193.591,0.43757
2010,14-Jul,195,17,385,c,1,.,.,.
2010,14-Jul,195,21,585,c,1,135.328,190.664,0.70977
2010,14-Jul,195,24,385,c,2,140.81,186.603,0.75459
2010,14-Jul,195,20,585,c,2,.,.,.
2010,14-Jul,195,25,385,c,3,135.087,178.133,0.75835
2010,14-Jul,195,29,585,c,3,153.1,194.389,0.7876
2010,14-Jul,195,28,385,c,4,133.664,173.964,0.76835
2010,14-Jul,195,32,385,c,4,152.235,220.086,0.69171
2010,14-Jul,195,17,385,d,1,151.853,189.602,0.8009
2010,14-Jul,195,21,585,d,1,113.971,160.548,0.70989
2010,14-Jul,195,24,385,d,2,151.95,184.105,0.82535
2010,14-Jul,195,20,585,d,2,121.351,161.726,0.75035
2010,14-Jul,195,25,585,d,3,.,.,.
2010,14-Jul,195,29,585,d,3,139.077,178.602,0.7787
2010,14-Jul,195,32,385,d,4,.,.,.
2010,14-Jul,195,28,585,d,4,93.43,163.106,0.57282
2010,28-Jul,209,17,385,c,1,155.012,201.432,0.76955
2010,28-Jul,209,21,585,c,1,100.138,173.576,0.57691
2010,28-Jul,209,24,385,c,2,151.816,236.939,0.64074
2010,28-Jul,209,20,585,c,2,159.181,212.978,0.74741
2010,28-Jul,209,25,385,c,3,140.253,186.813,0.75077
2010,28-Jul,209,29,585,c,3,98.275,160.323,0.61298
2010,28-Jul,209,32,385,c,4,132.074,190.529,0.69319
2010,28-Jul,209,28,585,c,4,118.947,176.64,0.67338
2010,28-Jul,209,17,385,d,1,149.232,196.617,0.759
2010,28-Jul,209,21,585,d,1,164.298,210.271,0.78136
2010,28-Jul,209,24,385,d,2,160.223,195.046,0.82146
2010,28-Jul,209,20,585,d,2,110.215,164.835,0.66864
2010,28-Jul,209,25,385,d,3,133.593,185.763,0.71916
2010,28-Jul,209,29,585,d,3,103.363,155.52,0.66463
2010,28-Jul,209,32,385,d,4,123.461,161.984,0.76218
2010,28-Jul,209,28,585,d,4,128.497,208.014,0.61773
2010,11-Aug,223,17,385,c,1,149.074,213.45,0.6984
2010,11-Aug,223,21,585,c,1,155.291,270.898,0.57324
2010,11-Aug,223,24,385,c,2,190.991,251.785,0.75855
2010,11-Aug,223,20,585,c,2,142.633,221.06,0.64522
2010,11-Aug,223,25,385,c,3,173.475,262.775,0.66017
2010,11-Aug,223,29,585,c,3,161.399,191.359,0.84343
2010,11-Aug,223,32,385,c,4,165.657,237.067,0.69878
2010,11-Aug,223,28,585,c,4,142.68,281.996,0.50597
2010,11-Aug,223,17,385,d,1,147.271,246.199,0.59818
2010,11-Aug,223,21,585,d,1,162.839,244.581,0.66579
2010,11-Aug,223,24,385,d,2,168.108,264.829,0.63478
2010,11-Aug,223,20,585,d,2,136.412,270.386,0.50451
2010,11-Aug,223,25,385,d,3,130.06,213.411,0.60943
2010,11-Aug,223,29,585,d,3,125.788,206.976,0.60774
2010,11-Aug,223,32,385,d,4,170.098,269.387,0.63143
2010,11-Aug,223,28,585,d,4,129.106,213.562,0.60454
2010,24-Aug,236,17,385,c,1,162.252,271.131,0.59843
2010,24-Aug,236,21,585,c,1,113.485,227.682,0.49844
2010,24-Aug,236,24,385,c,2,132.297,216.839,0.61012
2010,24-Aug,236,20,585,c,2,135.667,275.044,0.49325
2010,24-Aug,236,25,385,c,3,149.678,252.885,0.59188
2010,24-Aug,236,29,585,c,3,108.382,207.651,0.52194
2010,24-Aug,236,32,385,c,4,136.478,251.212,0.54328
2010,24-Aug,236,28,585,c,4,130.311,265.804,0.49025
2010,24-Aug,236,17,385,d,1,118.932,215.152,0.55278
2010,24-Aug,236,21,585,d,1,106.7,192.65,0.55385
2010,24-Aug,236,24,385,d,2,100.281,182.809,0.54855
2010,24-Aug,236,20,585,d,2,93.094,184.239,0.50529
2010,24-Aug,236,25,385,d,3,111.969,184.385,0.60725
2010,24-Aug,236,29,585,d,3,91.379,166.271,0.54958
2010,24-Aug,236,32,385,d,4,117.045,205.307,0.5701
2010,24-Aug,236,28,585,d,4,121.452,260.86,0.46558
2010,2-Sep,245,17,385,c,1,85.422,185.204,0.46123
2010,2-Sep,245,21,585,c,1,109.701,265.983,0.41244
2010,2-Sep,245,24,385,c,2,102.883,207.76,0.4952
2010,2-Sep,245,20,585,c,2,94.958,207.867,0.45682
2010,2-Sep,245,25,385,c,3,130.444,223.978,0.58239
2010,2-Sep,245,29,585,c,3,94.82,196.97,0.48139
2010,2-Sep,245,32,385,c,4,99.286,181.491,0.54706
2010,2-Sep,245,28,585,c,4,80.652,214.806,0.37547
2010,2-Sep,245,17,385,d,1,80.553,153.084,0.5262
2010,2-Sep,245,21,585,d,1,47.133,110.681,0.42585
2010,2-Sep,245,24,385,d,2,80.346,161.549,0.49735
2010,2-Sep,245,20,585,d,2,78.05,169.65,0.46007
2010,2-Sep,245,29,585,d,3,57.849,135.552,0.42677
2010,2-Sep,245,32,385,d,4,64.042,130.079,0.49233
2010,2-Sep,245,28,585,d,4,82.194,170.24,0.48282
2011,6-Jul,187,1,385,c,1,148.865,198.61,0.74954
2011,6-Jul,187,5,585,c,1,116.258,167.585,0.69373
2011,6-Jul,187,4,385,c,2,159.359,209.142,0.76196
2011,6-Jul,187,3,585,c,2,120.494,180.297,0.66831
2011,6-Jul,187,10,385,c,3,160.286,205.657,0.77938
2011,6-Jul,187,14,585,c,3,128.768,201.75,0.63825
2011,6-Jul,187,11,385,c,4,158.655,217.802,0.72844
2011,6-Jul,187,15,585,c,4,122.56,177.291,0.69129
2011,6-Jul,187,1,385,d,1,141.683,202.965,0.69807
2011,6-Jul,187,5,585,d,1,109.184,170.95,0.63869
2011,6-Jul,187,4,385,d,2,162.984,189.403,0.86051
2011,6-Jul,187,3,585,d,2,156.312,197.602,0.79105
2011,6-Jul,187,10,385,d,3,160.541,221.867,0.72359
2011,6-Jul,187,14,585,d,3,125.812,187.752,0.67009
2011,6-Jul,187,11,385,d,4,146.058,175.775,0.83093
2011,6-Jul,187,15,585,d,4,124.817,168.219,0.74199
2011,20-Jul,201,1,385,c,1,131.875,161.912,0.81449
2011,20-Jul,201,5,585,c,1,125.531,176.945,0.70943
2011,20-Jul,201,4,385,c,2,160.772,173.109,0.92873
2011,20-Jul,201,3,585,c,2,150.418,197.364,0.76213
2011,20-Jul,201,10,385,c,3,147.978,172.259,0.85904
2011,20-Jul,201,14,585,c,3,114.597,150.823,0.75981
2011,20-Jul,201,11,385,c,4,140.48,188.232,0.74632
2011,20-Jul,201,15,585,c,4,126.026,178.121,0.70753
2011,20-Jul,201,1,385,d,1,135.765,174.044,0.78006
2011,20-Jul,201,5,585,d,1,115.778,170.65,0.67845
2011,20-Jul,201,4,385,d,2,157.845,167.252,0.94375
2011,20-Jul,201,3,585,d,2,118.16,177.962,0.66396
2011,20-Jul,201,10,385,d,3,146.109,186.296,0.78429
2011,20-Jul,201,14,585,d,3,127.739,188.002,0.67945
2011,20-Jul,201,11,385,d,4,154.398,202.124,0.76388
2011,20-Jul,201,15,585,d,4,126.201,176.432,0.71529
2011,17-Aug,229,1,385,c,1,140.457,207.371,0.67732
2011,17-Aug,229,5,585,c,1,140.009,216.018,0.64814
2011,17-Aug,229,4,385,c,2,152.522,182.44,0.83601
2011,17-Aug,229,3,585,c,2,137.817,194.333,0.70918
2011,17-Aug,229,10,385,c,3,150.969,207.859,0.7263
2011,17-Aug,229,14,585,c,3,136.663,219.716,0.622
2011,17-Aug,229,11,385,c,4,141.025,205.824,0.68517
2011,17-Aug,229,15,585,c,4,123.822,197.793,0.62602
2011,17-Aug,229,1,385,d,1,153.577,192.9,0.79615
2011,17-Aug,229,5,585,d,1,139.259,202.848,0.68652
2011,17-Aug,229,4,385,d,2,160.848,171.099,0.94009
2011,17-Aug,229,3,585,d,2,120.317,168.862,0.71252
2011,17-Aug,229,10,385,d,3,148.221,212.229,0.6984
2011,17-Aug,229,14,585,d,3,146.29,210.498,0.69497
2011,17-Aug,229,11,385,d,4,153.653,225.7,0.68078
2011,17-Aug,229,15,585,d,4,133.762,184.614,0.72455
2011,31-Aug,243,1,385,c,1,132.442,220.355,0.60104
2011,31-Aug,243,5,585,c,1,118.222,207.984,0.56842
2011,31-Aug,243,4,385,c,2,134.94,230.586,0.58521
2011,31-Aug,243,3,585,c,2,104.932,200.886,0.52235
2011,31-Aug,243,10,385,c,3,131.072,229.21,0.57184
2011,31-Aug,243,14,585,c,3,130.38,225.696,0.57768
2011,31-Aug,243,11,385,c,4,169.345,236.2,0.71695
2011,31-Aug,243,15,585,c,4,77.002,154.032,0.49991
2011,31-Aug,243,1,385,d,1,115.347,172.25,0.66965
2011,31-Aug,243,5,585,d,1,109.914,210.626,0.52184
2011,31-Aug,243,4,385,d,2,85.951,156.554,0.54902
2011,31-Aug,243,3,585,d,2,98.849,186.371,0.53039
2011,31-Aug,243,10,385,d,3,130.132,199.517,0.65224
2011,31-Aug,243,14,585,d,3,116.236,178.618,0.65075
2011,31-Aug,243,11,385,d,4,115.415,174.788,0.66032
2011,31-Aug,243,15,585,d,4,84.875,150.42,0.56425
2011,9-Sep,252,1,385,c,1,71.856,144.15,0.49848
2011,9-Sep,252,5,585,c,1,102.769,204.564,0.50238
2011,9-Sep,252,4,385,c,2,71.784,141.937,0.50574
2011,9-Sep,252,3,585,c,2,73.358,162.273,0.45207
2011,9-Sep,252,10,385,c,3,76.541,154.524,0.49534
2011,9-Sep,252,14,585,c,3,73.92,159.663,0.46298
2011,9-Sep,252,11,385,c,4,87.407,166.788,0.52406
2011,9-Sep,252,15,585,c,4,43.179,99.385,0.43446
2011,9-Sep,252,1,385,d,1,66.045,124.562,0.53021
2011,9-Sep,252,5,585,d,1,71.427,151.92,0.47016
2011,9-Sep,252,4,385,d,2,45.037,95.874,0.46976
2011,9-Sep,252,3,585,d,2,38.628,86.756,0.44525
2011,9-Sep,252,10,385,d,3,86.365,157.456,0.5485
2011,9-Sep,252,14,585,d,3,36.181,91.709,0.39452
2011,9-Sep,252,11,385,d,4,47.252,88.619,0.53321
2011,9-Sep,252,15,585,d,4,38.522,77.677,0.49593
