block,ring,CO2,hour,canopy_t
1,1,ambient,0,14.8064
1,1,ambient,1,14.4712
1,1,ambient,2,14.1597
1,1,ambient,3,13.9907
1,1,ambient,4,13.8361
1,1,ambient,5,14.1873
1,1,ambient,6,16.2648
1,1,ambient,7,18.6464
1,1,ambient,8,20.7411
1,1,ambient,9,22.5145
1,1,ambient,10,23.9601
1,1,ambient,11,24.4775
1,1,ambient,12,24.9155
1,1,ambient,13,24.8052
1,1,ambient,14,24.1049
1,1,ambient,15,23.3878
1,1,ambient,16,22.3049
1,1,ambient,17,20.6445
1,1,ambient,18,18.2572
1,1,ambient,19,16.8549
1,1,ambient,20,16.408
1,1,ambient,21,15.9194
1,1,ambient,22,15.5035
1,1,ambient,23,15.1725
1,5,elevated,0,14.4649
1,5,elevated,1,14.16
1,5,elevated,2,13.8233
1,5,elevated,3,13.6829
1,5,elevated,4,13.6402
1,5,elevated,5,13.9462
1,5,elevated,6,15.7269
1,5,elevated,7,18.1139
1,5,elevated,8,20.3211
1,5,elevated,9,22.0528
1,5,elevated,10,23.341
1,5,elevated,11,24.1158
1,5,elevated,12,24.6682
1,5,elevated,13,24.4589
1,5,elevated,14,23.9307
1,5,elevated,15,23.2573
1,5,elevated,16,21.9524
1,5,elevated,17,19.9893
1,5,elevated,18,17.54
1,5,elevated,19,16.3922
1,5,elevated,20,16.0083
1,5,elevated,21,15.5505
1,5,elevated,22,15.1046
1,5,elevated,23,14.7873
2,3,elevated,0,14.2817
2,3,elevated,1,14.0106
2,3,elevated,2,13.6594
2,3,elevated,3,13.5474
2,3,elevated,4,13.5497
2,3,elevated,5,13.9256
2,3,elevated,6,15.9514
2,3,elevated,7,18.404
2,3,elevated,8,20.4906
2,3,elevated,9,22.472
2,3,elevated,10,23.8177
2,3,elevated,11,24.4014
2,3,elevated,12,24.8422
2,3,elevated,13,24.8516
2,3,elevated,14,24.4114
2,3,elevated,15,23.6087
2,3,elevated,16,22.4644
2,3,elevated,17,20.5011
2,3,elevated,18,17.7949
2,3,elevated,19,16.3673
2,3,elevated,20,15.9071
2,3,elevated,21,15.4534
2,3,elevated,22,14.9975
2,3,elevated,23,14.6542
2,4,ambient,0,13.8947
2,4,ambient,1,13.5923
2,4,ambient,2,13.3299
2,4,ambient,3,13.2228
2,4,ambient,4,13.2321
2,4,ambient,5,13.6364
2,4,ambient,6,15.5414
2,4,ambient,7,17.8414
2,4,ambient,8,20.0127
2,4,ambient,9,22.0755
2,4,ambient,10,23.5347
2,4,ambient,11,24.2728
2,4,ambient,12,24.7504
2,4,ambient,13,24.6344
2,4,ambient,14,23.8785
2,4,ambient,15,22.8201
2,4,ambient,16,21.5275
2,4,ambient,17,19.625
2,4,ambient,18,17.3288
2,4,ambient,19,16.1792
2,4,ambient,20,15.6211
2,4,ambient,21,15.1699
2,4,ambient,22,14.7409
2,4,ambient,23,14.4477
3,10,ambient,0,13.5676
3,10,ambient,1,13.3147
3,10,ambient,2,13.0389
3,10,ambient,3,12.8581
3,10,ambient,4,12.7919
3,10,ambient,5,13.0164
3,10,ambient,6,14.9741
3,10,ambient,7,17.654
3,10,ambient,8,20.1011
3,10,ambient,9,21.981
3,10,ambient,10,23.3715
3,10,ambient,11,24.2934
3,10,ambient,12,24.577
3,10,ambient,13,24.1576
3,10,ambient,14,23.7225
3,10,ambient,15,22.8595
3,10,ambient,16,21.3802
3,10,ambient,17,19.4591
3,10,ambient,18,16.7719
3,10,ambient,19,15.6394
3,10,ambient,20,15.1881
3,10,ambient,21,14.7339
3,10,ambient,22,14.248
3,10,ambient,23,13.9303
3,14,elevated,0,14.6303
3,14,elevated,1,14.3736
3,14,elevated,2,14.002
3,14,elevated,3,13.8674
3,14,elevated,4,13.8496
3,14,elevated,5,14.1939
3,14,elevated,6,16.1043
3,14,elevated,7,18.5357
3,14,elevated,8,20.477
3,14,elevated,9,22.5075
3,14,elevated,10,24.0301
3,14,elevated,11,24.7491
3,14,elevated,12,25.2639
3,14,elevated,13,25.236
3,14,elevated,14,24.6841
3,14,elevated,15,23.8351
3,14,elevated,16,22.5668
3,14,elevated,17,20.5963
3,14,elevated,18,18.0755
3,14,elevated,19,16.7621
3,14,elevated,20,16.2814
3,14,elevated,21,15.8372
3,14,elevated,22,15.3745
3,14,elevated,23,15.0234
4,11,ambient,0,14.7332
4,11,ambient,1,14.4658
4,11,ambient,2,14.1339
4,11,ambient,3,14.0031
4,11,ambient,4,13.9825
4,11,ambient,5,14.3245
4,11,ambient,6,16.2707
4,11,ambient,7,18.7058
4,11,ambient,8,20.6939
4,11,ambient,9,22.3526
4,11,ambient,10,23.7457
4,11,ambient,11,24.3895
4,11,ambient,12,24.849
4,11,ambient,13,24.784
4,11,ambient,14,24.2173
4,11,ambient,15,23.3543
4,11,ambient,16,22.272
4,11,ambient,17,20.6451
4,11,ambient,18,18.3247
4,11,ambient,19,16.8803
4,11,ambient,20,16.3894
4,11,ambient,21,15.8673
4,11,ambient,22,15.4234
4,11,ambient,23,15.0497
4,15,elevated,0,14.4986
4,15,elevated,1,14.2309
4,15,elevated,2,13.9232
4,15,elevated,3,13.7793
4,15,elevated,4,13.789
4,15,elevated,5,14.1669
4,15,elevated,6,16.2065
4,15,elevated,7,18.7125
4,15,elevated,8,20.8753
4,15,elevated,9,22.6202
4,15,elevated,10,24.0452
4,15,elevated,11,24.9068
4,15,elevated,12,25.3768
4,15,elevated,13,25.1425
4,15,elevated,14,24.6427
4,15,elevated,15,24.0234
4,15,elevated,16,22.591
4,15,elevated,17,20.5096
4,15,elevated,18,17.9314
4,15,elevated,19,16.5518
4,15,elevated,20,16.0785
4,15,elevated,21,15.6476
4,15,elevated,22,15.2188
4,15,elevated,23,14.8671
