block,ring,DOY,CO2,H2O,category,cm_cm3,totlengthcm
1,17,159,ambient,con,1,0,0
1,17,159,ambient,con,2,0.085,0.03226
1,17,159,ambient,con,3,0,0
1,17,159,ambient,con,4,0,0
1,17,159,ambient,con,5,0,0
1,17,159,ambient,con,6,0,0
1,17,159,ambient,con,7,0,0
1,17,159,ambient,con,8,0,0
1,17,159,ambient,con,9,0,0
1,17,159,ambient,dry,1,0,0
1,17,159,ambient,dry,2,0,0
1,17,159,ambient,dry,3,0,0
1,17,159,ambient,dry,4,0,0
1,17,159,ambient,dry,5,0,0
1,17,159,ambient,dry,6,0,0
1,17,159,ambient,dry,7,0,0
1,17,159,ambient,dry,8,0,0
1,17,159,ambient,dry,9,0,0
1,21,159,elevate,con,1,0.14897,0.05653
1,21,159,elevate,con,2,0.09133,0.03466
1,21,159,elevate,con,3,0,0
1,21,159,elevate,con,4,0,0
1,21,159,elevate,con,5,0,0
1,21,159,elevate,con,6,0,0
1,21,159,elevate,con,7,0.11194,0.04248
1,21,159,elevate,con,8,0,0
1,21,159,elevate,con,9,0,0
1,21,159,elevate,dry,1,0,0
1,21,159,elevate,dry,2,0.16031,0.06084
1,21,159,elevate,dry,3,0,0
1,21,159,elevate,dry,4,0.31837,0.12082
1,21,159,elevate,dry,5,0,0
1,21,159,elevate,dry,6,0.08287,0.03145
1,21,159,elevate,dry,7,0,0
1,21,159,elevate,dry,8,0,0
1,21,159,elevate,dry,9,0,0
2,24,159,ambient,con,1,0.26265,0.09968
2,24,159,ambient,con,2,0.37784,0.14339
2,24,159,ambient,con,3,0.01644,0.00624
2,24,159,ambient,con,4,0,0
2,24,159,ambient,con,5,0.05172,0.01963
2,24,159,ambient,con,6,0,0
2,24,159,ambient,con,7,0,0
2,24,159,ambient,con,8,0,0
2,24,159,ambient,con,9,0,0
2,24,159,ambient,dry,1,0.32331,0.1227
2,24,159,ambient,dry,2,0.09696,0.0368
2,24,159,ambient,dry,3,0.11607,0.04405
2,24,159,ambient,dry,4,0,0
2,24,159,ambient,dry,5,0,0
2,24,159,ambient,dry,6,0,0
2,24,159,ambient,dry,7,0,0
2,24,159,ambient,dry,8,0,0
2,24,159,ambient,dry,9,0,0
2,20,159,elevate,con,1,0.2159,0.08193
2,20,159,elevate,con,2,0.09362,0.03553
2,20,159,elevate,con,3,0,0
2,20,159,elevate,con,4,0,0
2,20,159,elevate,con,5,0,0
2,20,159,elevate,con,6,0,0
2,20,159,elevate,con,7,0,0
2,20,159,elevate,con,8,0,0
2,20,159,elevate,con,9,0,0
2,20,159,elevate,dry,1,0.29075,0.11034
2,20,159,elevate,dry,2,0.2992,0.11355
2,20,159,elevate,dry,3,0.10068,0.03821
2,20,159,elevate,dry,4,0.24247,0.09202
2,20,159,elevate,dry,5,0,0
2,20,159,elevate,dry,6,0,0
2,20,159,elevate,dry,7,0,0
2,20,159,elevate,dry,8,0,0
2,20,159,elevate,dry,9,0,0
3,25,159,ambient,con,1,0.30438,0.11551
3,25,159,ambient,con,2,0,0
3,25,159,ambient,con,3,0,0
3,25,159,ambient,con,4,0,0
3,25,159,ambient,con,5,0,0
3,25,159,ambient,con,6,0,0
3,25,159,ambient,con,7,0,0
3,25,159,ambient,con,8,0,0
3,25,159,ambient,con,9,0,0
3,25,159,ambient,dry,1,0.24263,0.09208
3,25,159,ambient,dry,2,0.10863,0.04123
3,25,159,ambient,dry,3,0,0
3,25,159,ambient,dry,4,0,0
3,25,159,ambient,dry,5,0,0
3,25,159,ambient,dry,6,0,0
3,25,159,ambient,dry,7,0,0
3,25,159,ambient,dry,8,0,0
3,25,159,ambient,dry,9,0,0
3,29,159,elevate,con,1,0.37281,0.14148
3,29,159,elevate,con,2,0.08821,0.03348
3,29,159,elevate,con,3,0,0
3,29,159,elevate,con,4,0.04108,0.01559
3,29,159,elevate,con,5,0,0
3,29,159,elevate,con,6,0,0
3,29,159,elevate,con,7,0,0
3,29,159,elevate,con,8,0,0
3,29,159,elevate,con,9,0,0
3,29,159,elevate,dry,1,0,0
3,29,159,elevate,dry,2,0,0
3,29,159,elevate,dry,3,0,0
3,29,159,elevate,dry,4,0,0
3,29,159,elevate,dry,5,0,0
3,29,159,elevate,dry,6,0,0
3,29,159,elevate,dry,7,0,0
3,29,159,elevate,dry,8,0,0
3,29,159,elevate,dry,9,0,0
4,32,159,ambient,con,1,0.03023,0.01147
4,32,159,ambient,con,2,0,0
4,32,159,ambient,con,3,0,0
4,32,159,ambient,con,4,0,0
4,32,159,ambient,con,5,0,0
4,32,159,ambient,con,6,0,0
4,32,159,ambient,con,7,0,0
4,32,159,ambient,con,8,0,0
4,32,159,ambient,con,9,0,0
4,32,159,ambient,dry,1,0.38348,0.14553
4,32,159,ambient,dry,2,0.02529,0.0096
4,32,159,ambient,dry,3,0.01419,0.00539
4,32,159,ambient,dry,4,0,0
4,32,159,ambient,dry,5,0,0
4,32,159,ambient,dry,6,0,0
4,32,159,ambient,dry,7,0,0
4,32,159,ambient,dry,8,0,0
4,32,159,ambient,dry,9,0,0
4,28,159,elevate,con,1,0.06664,0.02529
4,28,159,elevate,con,2,0.1138,0.04319
4,28,159,elevate,con,3,0,0
4,28,159,elevate,con,4,0,0
4,28,159,elevate,con,5,0.07229,0.02743
4,28,159,elevate,con,6,0,0
4,28,159,elevate,con,7,0,0
4,28,159,elevate,con,8,0,0
4,28,159,elevate,con,9,0,0
4,28,159,elevate,dry,1,0.03186,0.01209
4,28,159,elevate,dry,2,0.10221,0.03879
4,28,159,elevate,dry,3,0,0
4,28,159,elevate,dry,4,0,0
4,28,159,elevate,dry,5,0,0
4,28,159,elevate,dry,6,0,0
4,28,159,elevate,dry,7,0,0
4,28,159,elevate,dry,8,0,0
4,28,159,elevate,dry,9,0,0
1,17,192,ambient,con,1,0.39507,0.14222
1,17,192,ambient,con,2,0.15227,0.05482
1,17,192,ambient,con,3,1.22502,0.44101
1,17,192,ambient,con,4,0.5386,0.1939
1,17,192,ambient,con,5,0.51566,0.18564
1,17,192,ambient,con,6,0.12207,0.04395
1,17,192,ambient,con,7,0,0
1,17,192,ambient,con,8,0,0
1,17,192,ambient,con,9,0,0
1,17,192,ambient,dry,1,0.48314,0.17393
1,17,192,ambient,dry,2,0.37448,0.13481
1,17,192,ambient,dry,3,0.85047,0.30617
1,17,192,ambient,dry,4,1.62023,0.58328
1,17,192,ambient,dry,5,0.51834,0.1866
1,17,192,ambient,dry,6,1.16995,0.42118
1,17,192,ambient,dry,7,0,0
1,17,192,ambient,dry,8,0,0
1,17,192,ambient,dry,9,0,0
1,21,192,elevate,con,1,0.45985,0.16555
1,21,192,elevate,con,2,0.53913,0.19409
1,21,192,elevate,con,3,2.69496,0.97019
1,21,192,elevate,con,4,3.22617,1.16142
1,21,192,elevate,con,5,2.07259,0.74613
1,21,192,elevate,con,6,0.1695,0.06102
1,21,192,elevate,con,7,0.41454,0.14924
1,21,192,elevate,con,8,0.07474,0.02691
1,21,192,elevate,con,9,0,0
1,21,192,elevate,dry,1,0.26967,0.09708
1,21,192,elevate,dry,2,1.45709,0.52455
1,21,192,elevate,dry,3,4.6308,1.66709
1,21,192,elevate,dry,4,4.07663,1.46759
1,21,192,elevate,dry,5,0.3401,0.12244
1,21,192,elevate,dry,6,0.29343,0.10564
1,21,192,elevate,dry,7,0,0
1,21,192,elevate,dry,8,0,0
1,21,192,elevate,dry,9,0,0
2,24,192,ambient,con,1,0.62647,0.22553
2,24,192,ambient,con,2,1.07169,0.38581
2,24,192,ambient,con,3,4.95052,1.78219
2,24,192,ambient,con,4,5.49615,1.97861
2,24,192,ambient,con,5,0.77738,0.27986
2,24,192,ambient,con,6,0,0
2,24,192,ambient,con,7,0,0
2,24,192,ambient,con,8,0,0
2,24,192,ambient,con,9,0,0
2,24,192,ambient,dry,1,1.15461,0.41566
2,24,192,ambient,dry,2,1.30496,0.46978
2,24,192,ambient,dry,3,3.19654,1.15076
2,24,192,ambient,dry,4,1.23053,0.44299
2,24,192,ambient,dry,5,0,0
2,24,192,ambient,dry,6,0,0
2,24,192,ambient,dry,7,0,0
2,24,192,ambient,dry,8,0,0
2,24,192,ambient,dry,9,0,0
2,20,192,elevate,con,1,0.63834,0.2298
2,20,192,elevate,con,2,0.63938,0.23018
2,20,192,elevate,con,3,2.01677,0.72604
2,20,192,elevate,con,4,2.70199,0.97272
2,20,192,elevate,con,5,0.09126,0.03286
2,20,192,elevate,con,6,0.11034,0.03972
2,20,192,elevate,con,7,0,0
2,20,192,elevate,con,8,0,0
2,20,192,elevate,con,9,0,0
2,20,192,elevate,dry,1,0.81556,0.2936
2,20,192,elevate,dry,2,0.62993,0.22677
2,20,192,elevate,dry,3,2.19784,0.79122
2,20,192,elevate,dry,4,5.06811,1.82452
2,20,192,elevate,dry,5,0.98113,0.35321
2,20,192,elevate,dry,6,0.04588,0.01652
2,20,192,elevate,dry,7,0.06131,0.02207
2,20,192,elevate,dry,8,0,0
2,20,192,elevate,dry,9,0,0
3,25,192,ambient,con,1,0.93789,0.33764
3,25,192,ambient,con,2,1.78703,0.64333
3,25,192,ambient,con,3,2.56029,0.9217
3,25,192,ambient,con,4,3.4132,1.22875
3,25,192,ambient,con,5,2.06106,0.74198
3,25,192,ambient,con,6,0,0
3,25,192,ambient,con,7,0.3506,0.12622
3,25,192,ambient,con,8,0.21635,0.07788
3,25,192,ambient,con,9,0,0
3,25,192,ambient,dry,1,0.14211,0.05116
3,25,192,ambient,dry,2,0.92315,0.33234
3,25,192,ambient,dry,3,3.59237,1.29325
3,25,192,ambient,dry,4,3.33448,1.20041
3,25,192,ambient,dry,5,0.56515,0.20345
3,25,192,ambient,dry,6,0,0
3,25,192,ambient,dry,7,0,0
3,25,192,ambient,dry,8,0,0
3,25,192,ambient,dry,9,0,0
3,29,192,elevate,con,1,0.65012,0.23404
3,29,192,elevate,con,2,4.04264,1.45535
3,29,192,elevate,con,3,4.67324,1.68237
3,29,192,elevate,con,4,7.00612,2.5222
3,29,192,elevate,con,5,5.6514,2.0345
3,29,192,elevate,con,6,3.68457,1.32644
3,29,192,elevate,con,7,0.10701,0.03852
3,29,192,elevate,con,8,0.10956,0.03944
3,29,192,elevate,con,9,0,0
3,29,192,elevate,dry,1,0.84609,0.30459
3,29,192,elevate,dry,2,1.72727,0.62182
3,29,192,elevate,dry,3,4.04104,1.45477
3,29,192,elevate,dry,4,7.62296,2.74427
3,29,192,elevate,dry,5,3.4868,1.25525
3,29,192,elevate,dry,6,0.29994,0.10798
3,29,192,elevate,dry,7,0,0
3,29,192,elevate,dry,8,0,0
3,29,192,elevate,dry,9,0,0
4,32,192,ambient,con,1,0.18218,0.06559
4,32,192,ambient,con,2,1.1226,0.40414
4,32,192,ambient,con,3,0.71918,0.2589
4,32,192,ambient,con,4,0.05938,0.02138
4,32,192,ambient,con,5,0.33872,0.12194
4,32,192,ambient,con,6,0,0
4,32,192,ambient,con,7,0.06678,0.02404
4,32,192,ambient,con,8,0,0
4,32,192,ambient,con,9,0,0
4,32,192,ambient,dry,1,0.32844,0.11824
4,32,192,ambient,dry,2,0.34259,0.12333
4,32,192,ambient,dry,3,0.75779,0.2728
4,32,192,ambient,dry,4,4.63428,1.66834
4,32,192,ambient,dry,5,0.58993,0.21237
4,32,192,ambient,dry,6,0.03166,0.0114
4,32,192,ambient,dry,7,0.03084,0.0111
4,32,192,ambient,dry,8,0,0
4,32,192,ambient,dry,9,0,0
4,28,192,elevate,con,1,0.49186,0.17707
4,28,192,elevate,con,2,1.4887,0.53593
4,28,192,elevate,con,3,3.98572,1.43486
4,28,192,elevate,con,4,1.57894,0.56842
4,28,192,elevate,con,5,0.43698,0.15731
4,28,192,elevate,con,6,0.48053,0.17299
4,28,192,elevate,con,7,0,0
4,28,192,elevate,con,8,0,0
4,28,192,elevate,con,9,0,0
4,28,192,elevate,dry,1,0.46052,0.16579
4,28,192,elevate,dry,2,2.00848,0.72305
4,28,192,elevate,dry,3,3.62177,1.30384
4,28,192,elevate,dry,4,4.22159,1.51977
4,28,192,elevate,dry,5,3.89621,1.40264
4,28,192,elevate,dry,6,0.08491,0.03057
4,28,192,elevate,dry,7,0,0
4,28,192,elevate,dry,8,0,0
4,28,192,elevate,dry,9,0,0
1,17,209,ambient,con,1,0.79405,0.29238
1,17,209,ambient,con,2,1.07796,0.39692
1,17,209,ambient,con,3,1.32389,0.48748
1,17,209,ambient,con,4,0.95628,0.35212
1,17,209,ambient,con,5,1.63583,0.60235
1,17,209,ambient,con,6,2.08109,0.7663
1,17,209,ambient,con,7,0.75146,0.2767
1,17,209,ambient,con,8,1.28183,0.47199
1,17,209,ambient,con,9,0,0
1,17,209,ambient,dry,1,0.45725,0.16837
1,17,209,ambient,dry,2,0.57715,0.21252
1,17,209,ambient,dry,3,0.79658,0.29332
1,17,209,ambient,dry,4,3.94637,1.45313
1,17,209,ambient,dry,5,4.21938,1.55366
1,17,209,ambient,dry,6,2.33647,0.86033
1,17,209,ambient,dry,7,0.73319,0.26997
1,17,209,ambient,dry,8,0.56121,0.20665
1,17,209,ambient,dry,9,0.11962,0.04405
1,21,209,elevate,con,1,1.46376,0.53899
1,21,209,elevate,con,2,1.11034,0.40885
1,21,209,elevate,con,3,2.72601,1.00377
1,21,209,elevate,con,4,3.36656,1.23964
1,21,209,elevate,con,5,4.50517,1.65889
1,21,209,elevate,con,6,1.8895,0.69575
1,21,209,elevate,con,7,1.63922,0.60359
1,21,209,elevate,con,8,0.19738,0.07268
1,21,209,elevate,con,9,0,0
1,21,209,elevate,dry,1,0.69656,0.25649
1,21,209,elevate,dry,2,2.44973,0.90204
1,21,209,elevate,dry,3,4.82927,1.77823
1,21,209,elevate,dry,4,5.00013,1.84115
1,21,209,elevate,dry,5,1.71166,0.63027
1,21,209,elevate,dry,6,2.05283,0.75589
1,21,209,elevate,dry,7,0.42334,0.15588
1,21,209,elevate,dry,8,0,0
1,21,209,elevate,dry,9,0.16386,0.06034
2,24,209,ambient,con,1,1.33199,0.49047
2,24,209,ambient,con,2,1.84758,0.68032
2,24,209,ambient,con,3,4.58326,1.68765
2,24,209,ambient,con,4,6.56432,2.41711
2,24,209,ambient,con,5,3.05542,1.12507
2,24,209,ambient,con,6,0.9055,0.33342
2,24,209,ambient,con,7,0.1971,0.07258
2,24,209,ambient,con,8,0.30077,0.11075
2,24,209,ambient,con,9,0,0
2,24,209,ambient,dry,1,1.42651,0.52527
2,24,209,ambient,dry,2,2.30746,0.84965
2,24,209,ambient,dry,3,3.45936,1.27381
2,24,209,ambient,dry,4,4.8979,1.80351
2,24,209,ambient,dry,5,4.41084,1.62416
2,24,209,ambient,dry,6,2.86133,1.0536
2,24,209,ambient,dry,7,0.60148,0.22148
2,24,209,ambient,dry,8,1.11674,0.41121
2,24,209,ambient,dry,9,0.36141,0.13308
2,20,209,elevate,con,1,1.16183,0.42781
2,20,209,elevate,con,2,0.83858,0.30878
2,20,209,elevate,con,3,1.80004,0.66281
2,20,209,elevate,con,4,1.73069,0.63728
2,20,209,elevate,con,5,0.88024,0.32412
2,20,209,elevate,con,6,1.27327,0.46884
2,20,209,elevate,con,7,0.36905,0.13589
2,20,209,elevate,con,8,0.37109,0.13664
2,20,209,elevate,con,9,0,0
2,20,209,elevate,dry,1,1.08978,0.40128
2,20,209,elevate,dry,2,0.58071,0.21383
2,20,209,elevate,dry,3,1.54941,0.57052
2,20,209,elevate,dry,4,6.63668,2.44376
2,20,209,elevate,dry,5,1.16688,0.42967
2,20,209,elevate,dry,6,1.45754,0.5367
2,20,209,elevate,dry,7,1.15451,0.42511
2,20,209,elevate,dry,8,0.07771,0.02861
2,20,209,elevate,dry,9,0.14621,0.05384
3,25,209,ambient,con,1,2.43571,0.89688
3,25,209,ambient,con,2,3.52643,1.2985
3,25,209,ambient,con,3,3.67451,1.35303
3,25,209,ambient,con,4,3.4382,1.26602
3,25,209,ambient,con,5,4.67161,1.72018
3,25,209,ambient,con,6,2.08963,0.76945
3,25,209,ambient,con,7,3.49877,1.28832
3,25,209,ambient,con,8,0.48706,0.17935
3,25,209,ambient,con,9,1.41699,0.52176
3,25,209,ambient,dry,1,0.81751,0.30102
3,25,209,ambient,dry,2,1.0419,0.38365
3,25,209,ambient,dry,3,4.67211,1.72037
3,25,209,ambient,dry,4,5.10306,1.87905
3,25,209,ambient,dry,5,2.58383,0.95142
3,25,209,ambient,dry,6,0.47149,0.17361
3,25,209,ambient,dry,7,0.99869,0.36774
3,25,209,ambient,dry,8,0.75991,0.27982
3,25,209,ambient,dry,9,0.09796,0.03607
3,29,209,elevate,con,1,2.39823,0.88308
3,29,209,elevate,con,2,6.78645,2.49891
3,29,209,elevate,con,3,5.72415,2.10775
3,29,209,elevate,con,4,6.96808,2.56579
3,29,209,elevate,con,5,8.40838,3.09613
3,29,209,elevate,con,6,8.39193,3.09008
3,29,209,elevate,con,7,2.98682,1.09981
3,29,209,elevate,con,8,4.08176,1.50298
3,29,209,elevate,con,9,3.66385,1.3491
3,29,209,elevate,dry,1,1.71902,0.63298
3,29,209,elevate,dry,2,1.70591,0.62815
3,29,209,elevate,dry,3,4.3805,1.61299
3,29,209,elevate,dry,4,9.43724,3.47498
3,29,209,elevate,dry,5,7.22308,2.65968
3,29,209,elevate,dry,6,4.00553,1.47492
3,29,209,elevate,dry,7,2.2342,0.82268
3,29,209,elevate,dry,8,3.1198,1.14877
3,29,209,elevate,dry,9,1.19983,0.4418
4,32,209,ambient,con,1,0.20899,0.07695
4,32,209,ambient,con,2,1.41654,0.5216
4,32,209,ambient,con,3,1.06521,0.39223
4,32,209,ambient,con,4,2.25107,0.82889
4,32,209,ambient,con,5,1.25165,0.46088
4,32,209,ambient,con,6,0.4565,0.16809
4,32,209,ambient,con,7,0.21368,0.07868
4,32,209,ambient,con,8,0.03271,0.01205
4,32,209,ambient,con,9,0,0
4,32,209,ambient,dry,1,0.42315,0.15581
4,32,209,ambient,dry,2,0.51861,0.19096
4,32,209,ambient,dry,3,0.61713,0.22724
4,32,209,ambient,dry,4,4.40734,1.62287
4,32,209,ambient,dry,5,1.16766,0.42996
4,32,209,ambient,dry,6,1.11775,0.41158
4,32,209,ambient,dry,7,0.35678,0.13137
4,32,209,ambient,dry,8,0.25221,0.09287
4,32,209,ambient,dry,9,1.72162,0.63394
4,28,209,elevate,con,1,2.66624,0.98176
4,28,209,elevate,con,2,2.79941,1.0308
4,28,209,elevate,con,3,4.62077,1.70146
4,28,209,elevate,con,4,2.43189,0.89547
4,28,209,elevate,con,5,2.29395,0.84468
4,28,209,elevate,con,6,1.42561,0.52494
4,28,209,elevate,con,7,0.13814,0.05087
4,28,209,elevate,con,8,0.14366,0.0529
4,28,209,elevate,con,9,0,0
4,28,209,elevate,dry,1,0.99361,0.36587
4,28,209,elevate,dry,2,2.95767,1.08907
4,28,209,elevate,dry,3,3.30126,1.21559
4,28,209,elevate,dry,4,4.25225,1.56576
4,28,209,elevate,dry,5,5.83935,2.15016
4,28,209,elevate,dry,6,2.17595,0.80123
4,28,209,elevate,dry,7,0.78485,0.289
4,28,209,elevate,dry,8,0.09785,0.03603
4,28,209,elevate,dry,9,0,0
1,17,224,ambient,con,1,0.8255,0.29533
1,17,224,ambient,con,2,0.49043,0.17546
1,17,224,ambient,con,3,1.62148,0.5801
1,17,224,ambient,con,4,0.93225,0.33352
1,17,224,ambient,con,5,1.5313,0.54784
1,17,224,ambient,con,6,2.31353,0.82769
1,17,224,ambient,con,7,0.32536,0.1164
1,17,224,ambient,con,8,1.6577,0.59306
1,17,224,ambient,con,9,0.29487,0.10549
1,17,224,ambient,dry,1,0.47506,0.16996
1,17,224,ambient,dry,2,0.51009,0.18249
1,17,224,ambient,dry,3,0.47606,0.17031
1,17,224,ambient,dry,4,3.89496,1.39346
1,17,224,ambient,dry,5,4.63732,1.65905
1,17,224,ambient,dry,6,2.58391,0.92442
1,17,224,ambient,dry,7,0.60543,0.2166
1,17,224,ambient,dry,8,0.67051,0.23988
1,17,224,ambient,dry,9,0.2348,0.084
1,21,224,elevate,con,1,0.94653,0.33863
1,21,224,elevate,con,2,0.92698,0.33164
1,21,224,elevate,con,3,1.93292,0.69152
1,21,224,elevate,con,4,2.71232,0.97036
1,21,224,elevate,con,5,4.23341,1.51455
